Jul 24-Jul 26,1,80,Ant-Man,2,24.9
Jul 24-Jul 26,2,17,Pixels,1,24
Jul 24-Jul 26,3,54,Minions,3,22.9
Jul 24-Jul 26,4,86,Trainwreck,2,17.3
Jul 24-Jul 26,5,59,Southpaw,1,16.7
Jul 24-Jul 26,6,55,Paper Towns,1,12.7
Jul 24-Jul 26,7,98,Inside Out,6,7.4
Jul 24-Jul 26,8,71,Jurassic World,7,7.2
Jul 24-Jul 26,9,87,Mr. Holmes,2,2.9
Jul 24-Jul 26,10,26,Terminator Genisys,5,2.4
Jul 24-Jul 26,11,62,Magic Mike XXL,5,1.9
Jul 24-Jul 26,13,16,The Gallows,3,1.2
Jul 24-Jul 26,14,46,Ted 2,5,1
Jul 24-Jul 26,16,13,The Vatican Tapes,1,0.8
Jul 24-Jul 26,17,35,Max,5,0.8
Jul 24-Jul 26,18,93,Spy,8,0.8
Jul 24-Jul 26,19,97,Amy,4,0.7
Jul 24-Jul 26,20,97,Mad Max: Fury Road,11,0.4
Jul 24-Jul 26,21,50,San Andreas,9,0.3
Jul 24-Jul 26,22,74,Avengers: Age of Ultron,13,0.3
Jul 24-Jul 26,23,20,Self/less,3,0.3
Jul 24-Jul 26,24,42,Irrational Man,2,0.3
Jul 24-Jul 26,25,50,Tomorrowland,10,0.2
Jul 24-Jul 26,26,45,Home,19,0.1
Jul 24-Jul 26,27,89,Love &amp; Mercy,8,0.1
Jul 24-Jul 26,28,87,Dope,,0.1
Jul 24-Jul 26,29,67,Pitch Perfect 2,11,0.1
Jul 24-Jul 26,30,94,I'll See You in My Dreams,11,0.1
Jul 24-Jul 26,31,80,Infinitely Polar Bear,6,0.1
Jul 24-Jul 26,32,81,Me and Earl and the Dying Girl,7,0.1
Jul 24-Jul 26,33,81,Testament Of Youth,8,0.0904
Jul 24-Jul 26,34,95,Tangerine,3,0.0904
Jul 24-Jul 26,35,91,Cartel Land,4,0.0854
Jul 24-Jul 26,36,59,Insidious: Chapter 3,8,0.0817
